TI,PY,TC,AU,SO,DI
"MICROALGAE-BASED BIOREFINERIES: CHALLENGES AND FUTURE TRENDS TO PRODUCE CARBOHYDRATE ENRICHED BIOMASS, HIGH-ADDED VALUE PRODUCTS AND BIOACTIVE COMPOUNDS",2022.0,68.0,OLGUÍN EJ;SÁNCHEZ-GALVÁN G;ARIAS-OLGUÍN II;MELO FJ;GONZÁLEZ-PORTELA RE;CRUZ L;DE PHILIPPIS R;ADESSI A,BIOLOGY,10.3390/biology11081146
MICROALGAL BIOFUEL REVISITED: AN INFORMATICS-BASED ANALYSIS OF DEVELOPMENTS TO DATE AND FUTURE PROSPECTS,2015.0,71.0,CHEN H;QIU T;RONG J;HE C;WANG Q,APPLIED ENERGY,10.1016/j.apenergy.2015.06.055
"MICROALGAL BIOFUELS IN CHINA: THE PAST, PROGRESS AND PROSPECTS",2020.0,39.0,CHEN H;WANG X;WANG Q,GCB BIOENERGY,10.1111/gcbb.12741
MICROALGAL BIOFUELS: CHALLENGES AND PROSPECTIVE IN THE FRAMEWORK OF CIRCULAR BIOECONOMY,2025.0,5.0,PIYATILLEKE S;THEVARAJAH B;NIMARSHANA PHV;ARIYADASA TU,ENERGY NEXUS,10.1016/j.nexus.2024.100338
MICROALGAL BIOMASS PRODUCTION AS A SUSTAINABLE FEEDSTOCK FOR BIODIESEL: CURRENT STATUS AND PERSPECTIVES,2016.0,178.0,ABOMOHRA AE-F;JIN W;TU R;HAN S-F;EID M;ELADEL H,RENEWABLE AND SUSTAINABLE ENERGY REVIEWS,10.1016/j.rser.2016.06.056
MICROALGAL CULTURE STRATEGIES FOR BIOFUEL PRODUCTION: A REVIEW,2015.0,146.0,ZHU L,"BIOFUELS, BIOPRODUCTS AND BIOREFINING",10.1002/bbb.1576
PROMISING SOLUTIONS TO SOLVE THE BOTTLENECKS IN THE LARGE-SCALE CULTIVATION OF MICROALGAE FOR BIOMASS/BIOENERGY PRODUCTION,2016.0,101.0,ZHANG T-Y;HU H-Y;WU Y-H;ZHUANG L-L;XU X-Q;WANG X-X;DAO G-H,RENEWABLE AND SUSTAINABLE ENERGY REVIEWS,10.1016/j.rser.2016.02.008
THE POTENTIAL OF MICROALGAE BIOREFINERIES IN BELGIUM AND INDIA: AN ENVIRONMENTAL TECHNO-ECONOMIC ASSESSMENT,2018.0,69.0,THOMASSEN G;VAN DAEL M;VAN PASSEL S,BIORESOURCE TECHNOLOGY,10.1016/j.biortech.2018.07.037
THE URGE OF ALGAL BIOMASS-BASED FUELS FOR ENVIRONMENTAL SUSTAINABILITY AGAINST A STEADY TIDE OF BIOFUEL CONFLICT ANALYSIS: IS THIRD-GENERATION ALGAL BIOREFINERY A BOON?,2022.0,66.0,THANIGAIVEL S;VICKRAM S;DEY N;GULOTHUNGAN G;SUBBAIYA R;GOVARTHANAN M;KARMEGAM N;KIM W,FUEL,10.1016/j.fuel.2022.123494
THE VALUE OF EXTERNALITIES FOR BIOFUELS AND IMPLICATIONS FOR POLICY-LED DEVELOPMENT: A DISCRETE CHOICE EXPERIMENT WITH AUSTRALIAN CONSUMERS,2023.0,5.0,DOSHI A;PASCOE S;COGLAN L;RAINEY TJ,SUSTAINABLE PRODUCTION AND CONSUMPTION,10.1016/j.spc.2022.12.006
TRANSITIONING TO SUSTAINABLE USE OF BIOFUEL IN AUSTRALIA.,2017.0,0.0,SASONGKO N. A.;THORNS C.;SANKOFF I.;CHEW SHUTENG CHEW SHUTENG;BISTA S.,RENEWABLE ENERGY AND ENVIRONMENTAL SUSTAINABILITY,10.1051/rees/2017034
"UNLOCKING THE POTENTIAL OF MICROALGAE BIO-FACTORIES FOR CARBON DIOXIDE MITIGATION: A COMPREHENSIVE EXPLORATION OF RECENT ADVANCES, KEY CHALLENGES, AND ENERGY-ECONOMIC INSIGHTS.",2023.0,0.0,DASAN YALEENI KANNA;LAM MAN KEE;CHAI YEE HO;LIM JUN WEI;HO YEEK CHIA;TAN INN SHI;LAU SIE YON;SHOW PAU LOKE;LEE KEAT TEONG,BIORESOURCE TECHNOLOGY,10.1016/j.biortech.2023.129094
WHY MICROALGAL BIOFUELS WON'T SAVE THE INTERNAL COMBUSTION MACHINE,2010.0,87.0,VAN BEILEN JB,"BIOFUELS, BIOPRODUCTS AND BIOREFINING",10.1002/bbb.193
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
