publication_number,title,topic,topic_probability,country_code,publication_date
MD-20220059-A2,Process for producing a proteoglycan preparation,0,0.51418453,MD,20240630
NZ-631167-A,Hydropyrolysis of biomass-containing feedstocks,3,0.35520238,NZ,20161125
MY-176737-A,Nutritional microalgae and methods thereof,3,0.51331085,MY,20200820
MY-195731-A,A Method Of Integrated Multi-Trophic Aquaculture,3,0.36666644,MY,20230208
MD-4372-C1,Installation for cultivation of microalgae,6,0.6452396,MD,20160430
RO-134938-A0,"Topical dermato-cosmetic preparations, such as bioadhesive gels with dermal tissue regeneration effect",6,0.34474257,RO,20210528
PH-12012501985-A1,Methods of and systems for isolating carotenoids and omega-3 rich oils from algae,3,0.5019601,PH,20130114
MD-4200-B1,Method for assessing the toxicity of nanoparticles by means of red microalga Porphyridium cruentum,2,0.55070925,MD,20130228
GB-2593268-A,Composition for agriculture,3,0.40823066,GB,20210922
GB-2472040-A,Cultivation of algae for microclimate modification,3,0.5009345,GB,20110126
RO-126038-A0,Ecological fertilizer biocomposite and process for preparing the same,2,0.58899623,RO,20110228
LU-509057-B1,Composite Formulation and Preparation Method for Promoting the Germination and Growth of Citrus Grafted Seedlings,4,0.32108933,LU,20250526
NZ-597010-A,Catalyst comprising a metal and a supplemental component and process for hydrogenating oxygen containing organic products,4,0.34864163,NZ,20140131
PH-22018000390-U1,Process of producing organic foliar fertilizer,3,0.43463123,PH,20191018
ES-2617081-A1,"Procedure for the production of dha (Machine-translation by Google Translate, not legally binding)",3,0.5329456,ES,20170615
UA-93767-C2,Process for production of phycoerytrin from red microalgae,6,0.582255,UA,20110310
DK-1251744-T4,"INCREASED PRODUCTION OF LIPIDS CONTAINING polyenoic fatty acids, AT HØJTÆTHEDSKULTURER eukaryotic microbes in fermentors.",3,0.47770315,DK,20151116
MD-132-Y,Process for the obtaining of oily astaxanthin preparation,6,0.5854385,MD,20100129
MY-173434-A,"A bio-based polymer additive, a process for preparing the bio-based polymer addtive and a biodegradable polymer composition comprising said bio-based polymer additive",1,0.3622673,MY,20200124
MD-4418-C1,Combined plant for selective extraction of CO2 from biogas and cultivation of microalgae,2,0.66548055,MD,20161231
LU-507085-B1,Industrial Multistage Liquid Fermentation Method of Bacillus Cereus Preparation for dissolving Oscillatoria in Ponds,3,0.54604673,LU,20241104
IE-S20180162-A2,An apparatus for large scale temperature controlled production of algae in inhospitable environments,3,0.7201003,IE,20190109
IE-20100062-A1,Biofuel production from algae,3,0.63754034,IE,20120328
SI-2695513-T1,Method and device for providing heat and carbon dioxide to vegetables and/or algae using power station flue gas,2,0.51158917,SI,20180531
GR-1007207-B,Hydrogen production from chloro-algae (scenedesmus obliquus) via dichlorophenols biodegradation,2,0.5525848,GR,20110315
GB-2471492-A,Floating cultivation device for algae,3,0.5361129,GB,20110105
DE-102011012782-A1,"Algae harvesting comprises concentrating a part of a liquid in which the algae are located, which include bringing the algae present in the liquid, for flotation, by means of micro-bubbles, and harvesting",3,0.5073823,DE,20120726
MD-4540-C1,Electroflotation plant for thickening of fodder microalgae suspensions,6,0.51884437,MD,20180731
FR-3002355-A1,"Monitoring culture photosynthetic microalgae in photobioreactor, comprises capturing digital color image of culture of microorganisms, calculating color component of regions of image, and determining spatial distribution of color component",2,0.25853384,FR,20140822
FI-130788-B1,A method for refining macroalgae,1,0.3914119,FI,20240319
NZ-717336-A,Processing biomass,0,0.5873347,NZ,20171027
LT-7081-B,System and method of collection and concentration of cyanobacteria surface accumulations near the shore of water bodies,2,0.40640756,LT,20240812
ZA-202310683-B,Silicic acid in aquaculture,3,0.4806375,ZA,20250625
PH-22020050735-U3,"THE PROCESS OF PRODUCING EDIBLE FILM USING CRUDE EXTRACT FROM RED SEAWEED, Kappaphycus alvarezii",3,0.43183666,PH,20220328
PH-12020500607-A1,Method for improving quality of aquaculture pond water using a nutrient germinant composition and spore incubation method,2,0.37420046,PH,20210531
RO-130066-A2,Strain of anabaenopsis sp. and improved method for producing dissolved hydrogen by growing the same,2,0.460248,RO,20150227
GB-2501101-A,Method of manipulating the physiological state of algae cultured in raceway ponds,3,0.50132126,GB,20131016
MY-143769-A,An apparatus for mass cultivation of microalgae and a method for cultivating the same,6,0.44912842,MY,20110715
PH-22018000695-Y1,Food supplement composition that nutritionally supports cancer stricken patients,6,0.38634497,PH,20210604
ZA-202400039-B,"A production equipment, preparation methods, and applications of carbon sink algae liquid based on photosynthetic green algae algae",2,0.5897285,ZA,20240731
EA-017602-B1,Arthrospira maxima buta strain for production of biomass,6,0.63429546,EA,20130130
BG-2349-U1,"Composition of a food supplement, containing micro-seaweed biomass royal jelly",6,0.47711515,BG,20161230
PH-22023051700-U1,PROCESS OF MAKING ANTIMICROBIAL OINTMENT FROM SEAWEED (Hydroclathrus sp.) EXTRACT,3,0.35266918,PH,20240306
UA-158924-U,Method for utilization of greenhouse gases using microalgae of the genus chlorella,2,0.7268266,UA,20250409
NZ-597053-A,Stable dry powder composition comprising biologically active microorganisms and/or bioactive materials and methods of making,6,0.33632582,NZ,20140228
NZ-751076-A,Array for processing materials,0,0.5668508,NZ,20200731
TN-2012000275-A1,Process for the production of bio-oil from phototrophic and heterotrophic algae,3,0.49149108,TN,20131212
PH-12015500603-A1,Processing materials,0,0.55900985,PH,20150511
BG-4295-U1,Means for processing waste biosludge for microalgae cultivation,0,0.79157805,BG,20220815
NZ-722277-A,Improvements in the synthesis of phycocyanins,6,0.4585976,NZ,20191025
MY-194114-A,"Novel microalgal strains of thraustochytrium genus, and method of producing polyunsaturated fatty acids using the same",6,0.6423831,MY,20221114
GB-2549730-A,Purify,2,0.51554394,GB,20171101
PH-22022050527-U1,A scallops frilly membrane spring roll,5,0.2774021,PH,20220801
SG-188540-A1,Integrated process for the production of oil bearing chlorella variabilis for lipid extraction utilizing by-products of jatropha methyl ester (jme) production,6,0.77132255,SG,20130430
NZ-742978-A,Method for culturing unicellular red algae (ura) with milk permeate,3,0.52806515,NZ,20250627
PH-12020050063-A1,A METHOD AND SYSTEM OF MICROALGAL HARVESTING WITH REDUCED Pb IN Chaetoceros calcitrans PASTE,6,0.51930547,PH,20210920
FR-2956120-A1,"Hydroliquefaction of biomass including algae, lignocellulosic biomass and/or their constituents to form fuel bases, comprises stage of preparation of suspension of particles of biomass, and first and second stages of hydroconversion",3,0.51175416,FR,20110812
UA-47772-U,Method for automated irrigation of farm plants,3,0.35719958,UA,20100225
HK-1182595-A1,Novel microalgal food compositions,6,0.6951339,HK,20140711
SG-184416-A1,Selective extraction of proteins from saltwater algae,3,0.45729566,SG,20121129
ES-2417279-A1,"Use of oxilipins and their derivatives as anti-inflammatory agents (Machine-translation by Google Translate, not legally binding)",6,0.31793326,ES,20130806
PH-22018000695-U1,Food supplement composition that nutrionally supports cancer stricken patients,6,0.38634497,PH,20210604
UA-157956-U,Method of cryopreservation of dunaliella salina microalgae cells,6,0.49108297,UA,20241218
NZ-751094-A,Filtration,0,0.5265423,NZ,20200131
UA-94705-U,Bactericidal lacquer &#34;epidez-pf&#34;,3,0.38377458,UA,20141125
TN-2010000285-A1,Light-driven co2 reduction to organic compounds to serve as fuels or as industrial half products by an autotroph containing a fermentative gene cassette,3,0.2853455,TN,20111111
MD-4693-C1,Process for presowing treatment of seeds,6,0.4299616,MD,20210228
BG-2541-U1,A photo-bioreactor for inustrial cultivation of autotrophic organisms,2,0.61812866,BG,20170428
ZA-202403066-B,Apparatus and method for microalgae-microorganism sysnergistic treatment of aquaculture effluent,2,0.50052077,ZA,20250226
NL-2031876-B1,Method for co-producing methane and bio-oil by coupling anaerobic digestion of domestic wastewater with microalgae cultivation,0,0.72246563,NL,20241202
EA-018687-B1,Fraction of glycolipids of fermented extrats of biological food material and pharmaceutical composition comprising said fraction,6,0.2641086,EA,20130930
BG-67165-B1,Carbon emission reducing method and installation for its implementation,2,0.77807194,BG,20201030
GB-2475435-A,Producing a product using shuttle vectors containing essential chloroplast genes,6,0.41721657,GB,20110518
EE-05860-B1,Method of hydrothermal liquefaction and gasification of biomass and system,0,0.54553723,EE,20231115
GB-2494698-A,Cultivation of phytoplankton and zooplankton,2,0.3979329,GB,20130320
HK-1160721-A1,Methods and apparatuses for plant aeration,2,0.5713615,HK,20120817
IE-86558-B1,Seawater seaweed extract,3,0.3746996,IE,20150701
SG-184438-A1,Selective extraction of proteins from freshwater or saltwater algae,3,0.45729566,SG,20121129
SG-171526-A1,The use of by-product carbon dioxide from a steam methane reformer in an algae biofuel production process,2,0.5651636,SG,20110629
ZA-202401855-B,Preparation method and application of microalgae-containing biofertilizer,6,0.6187126,ZA,20240925
MY-164877-A,Culture device,3,0.4892878,MY,20180130
MY-166414-A,Method and device for providing heat and carbon dioxide to vegetables and/or algae using power station flue gas,2,0.5099865,MY,20180625
NL-2037511-B1,Algae harvesting apparatus and algae harvesting method using same,3,0.38294458,NL,20250812
PH-12017500446-B1,"Concentrated extract of algae, production method thereof and use of same in agriculture",3,0.4788928,PH,20211029
EA-034454-B1,Processing materials,0,0.63520914,EA,20200210
GB-2472033-A,Greenhouse system utilising recovered heat,2,0.4372517,GB,20110126
GB-2600032-A,Sea lice inhibiting system,2,0.3581183,GB,20220420
ES-2909891-A1,"Photobiorreactors for microalgae cultivation, aimed at different applications, related to the recovery of natural resources, within a cell economy model (Machine-translation by Google Translate, not legally binding)",2,0.3854202,ES,20220510
MY-187514-A,Method of fabricating graphene-based/algal biofilm electrode for application in a biophotovoltaic device,1,0.21847883,MY,20210924
CZ-308652-B6,Parachlorella kessleri HY1 microalgae strain for lutein production and use of this strain for industrial lutein production,6,0.670296,CZ,20210127
PH-12013501611-A1,"Vegetarian feeding method for carnivorous fish and shrimp with spirulina and chlorella algae using electrolysed water and sodium thiosulfate, guar and oligofructans as additives",6,0.38485825,PH,20190703
PH-22020000367-U1,Process of mango-flavored seaweed blended beverage,3,0.4047693,PH,20220209
CZ-301670-B6,"Plankton strain of Parachlorella nurekis 1904 KIEG alga and its use for killing blue green algae, bacteria and fungi",3,0.55791664,CZ,20100519
PH-12012501984-A1,Methods of and systems for dewatering algae and recycling water therefrom,3,0.70536995,PH,20130114
NZ-565346-A,A purified selectin ligand isolated from blue-green algae,6,0.15925494,NZ,20100528
EA-033192-B1,"Concentrated extract of algae, production method thereof and use of same in agriculture",3,0.56583583,EA,20190930
ES-2913973-A1,"Use of microalgae resistance forms in agriculture (Machine-translation by Google Translate, not legally binding)",6,0.51115596,ES,20220606
ES-2513040-A2,"Procedure and modular treatment plant to depress wastewater or regenerate depleted water. (Machine-translation by Google Translate, not legally binding)",2,0.5754292,ES,20141024
PH-12018000175-A1,Automatic fish feeder,0,0.3312432,PH,20200120
NZ-618123-A,Algal lipid compositions and methods of preparing and utilizing the same,3,0.5927876,NZ,20150130
NL-2032768-A,Element composition for aquaculture and use method thereof,3,0.40497905,NL,20220920
ES-2670879-A1,"Comprehensive aquatic production system for the cultivation of aquatic species and other living beings (Machine-translation by Google Translate, not legally binding)",0,0.5558988,ES,20180601
ES-1075787-U,"Automatic telephone device for fitoplancton cultivation (Machine-translation by Google Translate, not legally binding)",2,0.32524002,ES,20111205
DE-102012024096-A1,"Substrate comprising organic carbon and biomass such as algae, useful in electrical energy devices for storing electrical energy from renewable energy sources such as wind and solar power in the form of methane",4,0.5181198,DE,20140522
RO-135350-A2,Process for the biosynthesis of stable suspensions of selenium nanoparticles,6,0.4311188,RO,20211230
DE-102010037116-A1,"Removing carbon dioxide from gas-containing carbon dioxide used for producing biomass, by obtaining mixture from algae and waters, adjusting photolysis temperature, dewatering biomass, and conveying dewatered biomass into reservoir",2,0.49596882,DE,20120223
ES-2371826-A1,Integrated energy harnessing system,1,0.47843364,ES,20120110
BG-66975-B1,Vertical float-type facilities for the cultivation of aquatic organisms,3,0.33908546,BG,20191015
PH-22021050042-U1,CRUDE ENZYMES FROM GOLDEN APPLE SNAIL (Pomaceae canaliculata),3,0.45300084,PH,20220506
PT-1811848-E,"Bacterial product form marine origin, useful for preventing the macro and micro biofouling caused by macroalgae and marine invertebrates",6,0.4168749,PT,20110315
ES-2967099-A1,"Cleaning and operating robot for the production of microalgae (including cyanobacteria) in open reactors (Machine-translation by Google Translate, not legally binding)",2,0.4615023,ES,20240426
ES-2974382-A1,"CLEANING DEVICE FOR PHOTOBIOREACTORS FOR CULTIVATION OF MICROALGAE, METHOD AND ASSOCIATED USE (Machine-translation by Google Translate, not legally binding)",2,0.58666146,ES,20240626
UA-104931-C2,Method for growing larvae and young animals of the gastropod mollusk veined rapa whelk rapana venosa (val.) in a nursery,6,0.43597192,UA,20140325
ZA-202400327-B,A method for preparing composite biofertilizer with active algal cells,6,0.51379395,ZA,20240228
PH-22023050991-U3,PROCESS OF PRODUCING OF ICED TEA FLAVORED SEAWEED (Kappaphycus alvarezii) BLEND,3,0.37767413,PH,20240401
GB-2579099-A,Modified strains of chlorella vulgaris and method of production,3,0.3691921,GB,20200610
HK-1167158-A1,Algae production and harvesting apparatus,3,0.38997716,HK,20121123
NL-2014632-B1,Apparatus and method for treatment of air by algae.,2,0.36720037,NL,20161230
ES-1303651-U,"FOOD PRODUCT BASED ON SPIRULINA AND SEAWEED (Machine-translation by Google Translate, not legally binding)",6,0.4168513,ES,20231011
PH-22019050053-U1,Photobioreactor using chlorella vulgaris flow system,0,0.6049066,PH,20200304
LT-2023545-A,System and method of collection and concentration of cyanobacteria surface accumulations near the shore of water bodies,2,0.40455708,LT,20240710
LT-5640-B,Fodder additive and the method of making it,6,0.5320968,LT,20100225
CZ-304988-B6,Device for phototrophic cultivation of microalgae,1,0.51432085,CZ,20150311
IE-20130024-A1,Seawater seaweed extract,3,0.36786336,IE,20140730
PH-12023550230-A1,Microalgae-based soil non-electric inoculating system and methods of use,6,0.56690216,PH,20240624
SI-23571-A2,Process for concentrating of algae biomass with the use of a hydrocyclon,2,0.5507179,SI,20120531
FR-2960581-A1,"Equipment with artificial swimming pool having accumulated water for soil-less agriculture and rearing of aquatic animals, comprises activity basin, treatment installation, water supply, lagooning basin, and cooling device",2,0.44865525,FR,20111202
UA-105896-U,Method for biogas production of blue-green algae,0,0.5470718,UA,20160411
HK-1163151-A1,"Device for cultivating algae and/or microorganisms for treating an effluent, and biological frontage",0,0.6123775,HK,20120907
LT-6472-B,Reduction of ammonia emission in livestock farming,0,0.43128467,LT,20171110
PH-12019500051-A1,"Culture medium sterilized for microalgae high density culture, and the air compression, air cooling, carbon dioxide automatically supplied, sealed vertical photobioreactor, harvesting, drying apparatus and characterized in that to provide a carbon dioxide biomass conversion fixed, air and water purification method using the same",6,0.50242233,PH,20191021
ZA-202307872-B,System and method for phytohormone extraction,6,0.5427218,ZA,20240424
MD-146-Z,Process for astaxanthin extraction from Haematococcus pluvialis biomass,0,0.54771435,MD,20101130
LT-2008053-A,Fodder additive and the method of making it,6,0.5320968,LT,20100125
BG-113782-A,Construction of a complex photobioreactor for micro-algae biomass capture co2 from flue gas,2,0.6300886,BG,20250331
RO-135070-A2,"Process and open system for growing microalgae, integrated in biogas installations",0,0.70506895,RO,20210630
GB-2548350-A,Apparatus and method for encouraging biogenesis of algae,3,0.48085067,GB,20170920
MD-4662-C1,Process for presowing treatment of wheat seeds,0,0.32229602,MD,20200731
NL-2027987-B1,Artificial reef construction mode for improving habitat of reef sea area,3,0.37052435,NL,20210729
GB-2617381-A,Engineered photosynthetic organisms,3,0.46536854,GB,20231011
NZ-733115-A,Processing biomass,3,0.41428113,NZ,20190222
ES-2437448-A1,"System of in situ elimination of algae on beaches and energy recovery as biomass (Machine-translation by Google Translate, not legally binding)",3,0.4156112,ES,20140110
HK-1199473-A1,Production of bio-butanol and related products,3,0.441229,HK,20150703
EA-029642-B1,Micro-algae growing plant,3,0.44879615,EA,20180430
MY-188445-A,Cellulose nanomaterial and method for obtaining thereof,3,0.43104273,MY,20211209
SG-184439-A1,Methods of and systems for dewatering algae and recycling water therefrom,3,0.70536995,SG,20121129
ES-2540156-A1,"Continuous flow tank (Machine-translation by Google Translate, not legally binding)",2,0.5358608,ES,20150708
MY-141760-A,Agricultural or horticultural additive,6,0.31829137,MY,20100630
DE-102010004256-A1,"Bioreactor comprises a specific space for the cultivation of microorganisms in an aqueous nutrient solution under the conditions of photosynthesis, and a suitable light source within the space to represent a uniform light intensity",2,0.52681077,DE,20110714
ES-2693793-A1,"PROCEDURE FOR OBTAINING CONCENTRATES OF BIOFERTILIZERS AND BIOESTIMULANTS FOR AGRICULTURAL USE FROM MICROALOGUES BIOMASS, INCLUDING CYANOBACTERIA (Machine-translation by Google Translate, not legally binding)",6,0.6640802,ES,20181213
MD-4418-B1,Combined plant for selective extraction of CO2 from biogas and cultivation of microalgae,2,0.66792965,MD,20160531
RO-135468-A2,Stabilized polymeric material with microalgal biomass and preparation process,5,0.31829676,RO,20220128
UA-97293-C2,Method for isolation of microalgae phaeodactylum tricornutum (bacillariophyta) algoviruses from sea water samples,6,0.37463456,UA,20120125
HK-1258708-A1,Method for producing methane from carbon dioxide by co-culture,2,0.49034965,HK,20191115
GB-2564711-A,Modular continuous photobioreactor,3,0.39084834,GB,20190123
ES-2611795-A1,"Product for animal feed based on germinated seeds and microalgae and procedure for its manufacture (Machine-translation by Google Translate, not legally binding)",6,0.5447787,ES,20170510
UA-89314-C2,Unit for growing and processing microalgae,1,0.5125401,UA,20100111
CH-700388-A2,"Digester-photobioreactor for culturing photosynthetic microorganisms e.g. microalgae and producing biogas, comprises first enclosure with microorganisms and growth medium, and second enclosure with microorganisms and digestive medium",2,0.34992245,CH,20100813
UA-56189-U,Dietetic additive with micronutrients,6,0.27785894,UA,20110110
CZ-308677-B6,Method of obtaining an astaxanthin-based phytocomplex from microalgae biomass,3,0.41094142,CZ,20210210
ES-1299127-U,"Culture system for macroalgae of the order Ulvales. (Machine-translation by Google Translate, not legally binding)",2,0.38355452,ES,20230418
RO-128691-B1,Process for preparing a fuel for diesel engines,5,0.57950723,RO,20140530
UA-124963-C2,Method for culturing microalgae of the aurantiochytrium genus in a culture medium without chloride and without sodium for the production of dha,6,0.41074866,UA,20211222
